Date,aqi,co,dew,humidity,no2,o3,pm10,pm25,pressure,so2,temperature,wind gust,wind speed,wind-gust,wind-speed
17/03/2020,,0.3,21.0,94.0,14.2,4.9,28.0,96.0,1015.0,5.0,21.0,,1.8,,
17/04/2020,,0.2,22.0,88.0,1.9,6.5,15.0,36.0,1011.5,4.0,24.0,,,,3.6
17/05/2020,,0.2,23.0,72.0,,11.0,24.0,43.0,1004.0,6.0,28.5,,,,3.8
17/06/2020,,0.2,24.0,66.0,7.0,5.3,32.0,28.0,1002.5,2.0,30.5,,,,3.6
17/07/2020,17.0,0.2,23.5,60.5,5.5,12.0,28.0,29.0,1004.0,2.0,32.0,,,,3.8
17/08/2020,21.0,4.0,24.0,88.0,5.5,2.5,13.0,25.0,1004.0,4.0,26.0,,,,3.8
17/09/2020,18.0,0.3,24.0,72.0,7.4,,26.0,65.0,1005.0,5.0,29.5,,,,2.5
17/10/2020,19.0,3.0,14.0,56.0,6.4,,12.0,23.0,1015.5,7.0,23.0,,,,4.1
17/11/2020,159.0,0.4,21.0,94.0,10.1,3.0,21.0,61.0,1013.0,1.0,24.0,,,,3.3
17/12/2020,57.0,6.0,6.0,64.0,5.1,3.0,17.0,47.0,1023.0,2.0,12.5,,,,3.8
18/01/2020,,5.0,13.5,93.0,7.4,4.0,52.0,127.0,1018.0,3.0,15.0,,3.0,,
18/01/2021,103.0,5.0,3.0,47.0,10.0,5.7,31.0,109.0,1024.5,4.0,14.5,,,,2.0
18/02/2020,,0.2,,,19.0,4.9,55.0,112.0,,8.7,,,,,
18/03/2020,,4.0,17.5,90.5,6.0,3.3,17.0,72.0,1013.5,4.0,18.5,,3.8,,
18/04/2020,,2.0,22.5,83.0,1.4,8.2,14.0,36.0,1010.5,4.0,25.5,,,,3.3
18/05/2020,,0.3,23.0,78.0,,13.0,28.0,45.0,1003.0,6.0,28.5,,,,3.0
18/06/2020,,0.2,24.5,70.0,6.4,5.3,28.0,24.0,1003.0,1.1,30.0,,,,3.8
18/07/2020,15.0,0.1,25.0,60.5,5.5,11.4,28.0,37.0,1004.5,2.0,32.0,,,,3.8
18/08/2020,8.0,0.3,24.0,88.0,6.0,,8.0,19.0,1005.0,4.0,26.0,,,,3.3
18/09/2020,11.0,2.0,20.0,65.0,4.2,,12.0,25.0,1006.0,5.0,27.0,,,,5.1
18/10/2020,55.0,2.0,17.0,60.0,6.0,,15.0,45.0,1015.5,6.0,22.0,,,11.3,2.8
18/11/2020,119.0,2.0,21.0,85.5,7.8,3.0,23.0,59.0,1011.0,1.0,24.0,,,,3.0
18/12/2020,66.0,4.0,6.0,62.0,5.0,3.0,16.0,61.0,1023.5,1.1,13.0,,,,4.1
19/01/2020,,0.2,11.0,76.0,6.4,5.0,31.0,78.0,1020.0,3.0,15.0,,3.3,,
19/01/2021,144.0,0.3,7.5,60.0,18.0,3.0,42.0,126.0,1019.0,4.6,14.5,,,,2.5
19/02/2020,,4.0,,,20.6,3.0,64.0,134.0,,12.7,,,,,
19/03/2020,,3.0,17.0,88.0,5.1,3.0,14.0,61.0,1014.0,4.0,20.0,,1.8,,
19/04/2020,,2.0,23.5,85.5,1.0,10.0,17.0,42.0,1009.0,4.0,25.5,,,,3.3
19/05/2020,,0.3,24.5,80.5,,10.2,39.0,71.0,1003.5,6.0,28.0,,,,2.5
19/06/2020,,0.2,24.0,70.0,7.8,5.3,23.0,30.0,1005.0,1.1,30.0,,,,3.6
19/07/2020,26.0,0.2,25.0,64.0,5.0,9.8,25.0,35.0,1003.0,2.0,32.0,,,,3.8
