aqi,co,dew,humidity,no2,o3,pm10,pm25,pressure,so2,temperature,wind_gust_combined,wind_speed_combined
61.0,21.0,24.5,70.0,6.4,9.0,22.0,42.0,1002.0,3.0,30.0,10.984000000000002,2.3
18.0,0.3,25.0,83.0,6.9,6.215806451612903,26.0,32.0,1005.5,4.0,28.0,10.984000000000002,2.8
82.26940639269407,0.1,15.0,62.0,6.0,6.215806451612903,22.0,50.0,1015.0,6.0,22.5,10.984000000000002,2.8
155.0,0.3,9.5,52.0,16.0,5.7,35.0,91.0,1019.0,5.0,21.0,10.984000000000002,1.8
178.0,0.2,13.5,68.0,24.0,2.1,54.0,155.0,1017.0,4.0,19.0,10.984000000000002,1.8
117.0,0.3,19.0,77.5,8.0,3.0,46.0,74.0,1013.5,3.0,21.0,10.984000000000002,3.6
79.0,3.0,-3.0,35.0,10.0,4.1,29.0,91.0,1028.5,3.1,13.0,10.984000000000002,3.0
82.26940639269407,0.2,18.76287262872629,72.48915989159892,8.769354838709678,2.0,58.0,130.0,1011.5983739837399,4.0,24.056910569105693,10.984000000000002,2.8048780487804876
82.26940639269407,0.2,16.5,70.5,17.4,4.9,52.0,103.0,1014.0,5.0,22.0,10.984000000000002,2.5
82.26940639269407,0.1,21.5,83.0,4.0,9.0,23.0,49.0,1013.5,5.0,25.0,10.984000000000002,2.0
82.26940639269407,2.0,25.5,78.5,3.2,12.0,32.0,50.0,1008.0,6.0,29.0,10.984000000000002,4.1
82.26940639269407,0.3,24.0,80.5,8.3,7.0,34.0,51.0,1005.0,7.0,27.0,10.984000000000002,2.5
23.0,0.3,22.0,58.0,7.4,7.0,40.0,59.0,1001.5,3.0,31.0,10.984000000000002,2.0
42.0,3.0,24.0,74.0,11.9,4.0,21.0,30.0,1001.5,4.0,28.5,10.984000000000002,3.0
13.0,2.0,24.5,79.0,8.3,6.215806451612903,22.0,22.0,1005.0,5.0,28.5,10.984000000000002,2.5
82.26940639269407,3.0,15.0,58.0,6.0,6.215806451612903,21.0,65.0,1012.0,7.0,23.0,10.984000000000002,3.6
132.0,0.3,12.0,51.5,19.7,4.9,42.0,99.0,1020.0,5.0,22.5,10.984000000000002,1.8
178.0,10.0,15.0,77.0,21.1,3.0,52.0,149.0,1015.0,3.0,21.0,10.984000000000002,2.0
84.0,0.2,10.0,67.0,8.0,3.3,31.0,78.0,1017.5,3.0,16.5,10.984000000000002,3.0
98.0,0.4,-2.5,32.0,13.0,3.0,34.0,85.0,1026.5,4.0,14.5,10.984000000000002,2.0
82.26940639269407,0.3,18.76287262872629,72.48915989159892,17.0,3.0,57.0,129.0,1011.5983739837399,4.0,24.056910569105693,10.984000000000002,2.8048780487804876
82.26940639269407,0.3,19.5,85.5,12.8,5.3,40.0,88.0,1012.0,4.0,23.0,10.984000000000002,2.0
82.26940639269407,3.0,15.5,79.5,3.0,9.8,17.0,48.0,1019.0,5.0,19.0,10.984000000000002,2.3
82.26940639269407,0.3,23.0,76.0,3.7,9.0,24.0,38.0,1010.0,6.0,27.0,8.7,2.8
82.26940639269407,3.0,23.5,68.0,7.8,9.0,31.0,53.0,1002.0,7.0,28.5,10.984000000000002,3.0
31.0,0.2,22.5,58.5,7.0,9.4,36.0,52.0,1003.0,2.0,30.5,10.984000000000002,2.3
36.0,3.0,26.0,76.5,7.8,6.0,22.0,46.0,1003.5,4.0,30.0,10.984000000000002,4.1
18.0,0.3,26.0,79.0,7.0,6.215806451612903,20.0,25.0,1008.0,5.0,28.0,10.984000000000002,2.8
82.26940639269407,0.2,17.0,61.0,10.6,6.215806451612903,32.0,99.0,1010.0,7.0,25.0,10.984000000000002,2.3
158.0,0.3,12.0,52.5,20.0,4.0,54.0,104.0,1019.0,4.0,22.0,10.984000000000002,1.2
176.0,8.0,16.0,70.5,17.0,4.1,37.0,108.0,1014.0,3.0,21.0,10.984000000000002,2.8
193.0,0.3,14.5,88.0,11.0,3.0,78.0,159.0,1016.0,5.6,17.0,10.984000000000002,1.2
144.0,0.3,2.5,44.0,18.8,4.0,50.0,150.0,1019.0,7.0,14.5,10.984000000000002,2.0
82.26940639269407,0.4,18.76287262872629,72.48915989159892,13.3,3.3,37.0,93.0,1011.5983739837399,3.0,24.056910569105693,10.984000000000002,2.8048780487804876
82.26940639269407,0.2,22.0,85.5,9.0,11.0,36.0,99.0,1012.0,4.0,24.5,10.984000000000002,1.8
82.26940639269407,4.0,13.0,79.5,4.0,7.0,23.0,82.0,1020.0,5.0,16.5,10.984000000000002,1.8
82.26940639269407,0.3,23.5,83.0,2.8,7.4,30.0,57.0,1010.0,6.0,26.0,10.984000000000002,4.1
82.26940639269407,0.2,24.5,70.0,6.9,7.0,28.0,41.0,1001.0,7.0,31.0,10.984000000000002,3.8
23.0,0.2,23.5,62.0,8.7,9.4,33.0,62.0,1004.5,2.0,31.5,10.984000000000002,3.0
24.0,0.3,24.0,83.0,6.9,4.5,15.0,24.0,1006.0,4.0,27.0,10.984000000000002,3.0
18.0,0.2,24.5,81.0,5.0,6.215806451612903,16.0,22.0,1010.0,4.0,28.0,10.984000000000002,2.3
104.0,0.2,17.0,54.0,11.0,6.215806451612903,36.0,91.0,1009.0,7.0,27.0,10.984000000000002,3.0
157.0,0.4,11.5,53.0,19.0,3.0,46.0,93.0,1018.0,5.0,22.0,10.984000000000002,1.8
182.0,7.0,19.0,83.0,13.3,3.7,35.0,80.0,1011.0,2.0,23.0,10.984000000000002,2.8
253.0,0.5,17.0,88.0,18.0,3.0,93.0,182.0,1014.5,5.6,18.5,10.984000000000002,1.2
152.0,0.3,6.0,56.0,20.2,4.0,57.0,162.0,1017.0,8.2,15.5,10.984000000000002,2.0
82.26940639269407,0.3,18.76287262872629,72.48915989159892,10.1,8.0,29.0,59.0,1011.5983739837399,3.0,24.056910569105693,10.984000000000002,2.8048780487804876
82.26940639269407,4.0,17.0,73.0,9.2,5.0,35.0,84.0,1016.0,4.0,22.0,10.984000000000002,2.5
82.26940639269407,3.0,13.0,64.0,4.0,11.4,28.0,65.0,1017.0,5.0,19.5,10.984000000000002,1.8
82.26940639269407,0.3,22.0,72.0,2.8,7.4,25.0,46.0,1007.5,6.0,27.5,10.984000000000002,3.0
82.26940639269407,0.2,25.0,83.0,7.8,6.0,29.0,54.0,1004.0,7.0,28.0,10.984000000000002,2.8
46.0,2.0,23.5,66.0,10.0,14.0,30.0,47.0,1006.5,2.0,31.0,10.984000000000002,2.0
30.0,0.3,24.0,85.5,4.6,5.0,14.0,29.0,1006.0,3.1,26.5,10.984000000000002,3.3
16.0,0.4,23.5,78.0,6.4,6.215806451612903,18.0,26.0,1009.0,5.0,27.0,10.984000000000002,2.0
64.0,0.2,20.0,83.0,6.0,6.215806451612903,14.0,38.0,1007.0,6.0,23.0,10.984000000000002,4.6
136.0,0.2,10.5,43.5,17.0,6.1,35.0,107.0,1017.0,4.0,24.0,10.984000000000002,2.0
181.0,7.0,19.0,69.0,11.0,3.0,24.0,70.0,1014.0,1.6,22.5,10.984000000000002,2.3
82.26940639269407,0.2,19.0,80.5,8.0,5.0,35.0,82.0,1013.0,3.0,22.5,10.984000000000002,4.6
175.0,7.0,12.0,69.5,21.0,2.0,61.0,163.0,1015.5,5.1,17.0,10.984000000000002,1.5
82.26940639269407,0.3,18.76287262872629,72.48915989159892,11.0,7.0,40.0,81.0,1011.5983739837399,3.0,24.056910569105693,10.984000000000002,2.8048780487804876
